State,District,Latitude,Longitude,Crop,Season,Year,Sowing_date,Harvest_date,Area_ha,Production_tonnes,Yield_t_per_ha,Rainfall_mm,Avg_Temperature_C,Humidity_%,Solar_Radiation_MJ_m2_day,Soil_pH,Soil_N_percent,Soil_P_ppm,Soil_K_ppm,Soil_organic_percent,Fertilizer_kg_per_ha,Irrigation_type,Irrigation_mm,NDVI,EVI,Pesticide_used,Previous_crop
Bihar,Bihar_Dist_24,12.625,92.307,Soybean,Zaid,2012,2012-03-05,2012-05-13,77.496,154.963,2.0,73.0,25.96,39.4,25.97,6.49,0.118,26.0,354.61,0.84,117.0,Groundwater,602.7,0.7102710785373524,0.5832393138091871,1,Wheat
Bihar,Bihar_Dist_13,23.829,88.277,Millet,Zaid,2015,2015-03-20,2015-07-06,1.594,1.875,1.177,110.0,21.85,80.8,20.11,6.35,0.216,40.44,150.82,4.89,120.9,Rainfed,0.0,0.3954151532370596,0.31577089773133704,1,Maize
West Bengal,West Bengal_Dist_13,8.328,82.171,Sugarcane,Kharif,2015,2015-07-24,2015-11-17,37.741,3106.606,82.314,466.0,18.08,63.2,15.79,5.6,0.051,44.59,430.2,2.28,57.8,Rainfed,0.0,0.5819375841051063,0.4760436253113436,1,Rice
Punjab,Punjab_Dist_31,13.044,86.108,Rice,Kharif,2018,2018-07-11,2018-10-31,52.17,273.058,5.234,469.0,27.88,67.8,25.09,6.4,0.146,53.79,100.68,1.11,142.1,Rainfed,0.0,0.7795509905008986,0.6233048172569258,1,Millet
Andhra Pradesh,Andhra Pradesh_Dist_34,14.797,81.531,Pulses,Zaid,2017,2017-03-07,2017-05-20,57.372,111.081,1.936,57.0,24.94,74.6,20.22,6.98,0.11,53.89,215.32,0.56,132.0,Canal,874.7,0.9326046578985642,0.7605427611304381,1,Fallow
Rajasthan,Rajasthan_Dist_16,13.286,95.036,Millet,Kharif,2014,2014-07-18,2014-11-17,114.556,179.811,1.57,543.0,23.77,73.5,14.96,6.42,0.16,49.12,302.38,3.58,147.2,Rainfed,0.0,0.807353586909563,0.6569544309853496,1,Rice
Punjab,Punjab_Dist_9,16.697,87.906,Rice,Rabi,2017,2017-11-20,2018-05-04,14.922,109.297,7.325,77.0,28.96,42.7,12.46,6.72,0.315,21.91,370.64,3.89,196.2,Canal,321.2,0.6847720046649923,0.4730171022775133,0,Fallow
Andhra Pradesh,Andhra Pradesh_Dist_28,20.354,77.882,Pulses,Rabi,2016,2016-11-01,2017-03-29,12.659,10.931,0.864,177.0,25.65,90.1,23.88,6.98,0.344,37.75,384.38,2.5,10.3,Rainfed,0.0,0.3273101955286983,0.2249976934658215,1,Cotton
Uttar Pradesh,Uttar Pradesh_Dist_29,17.96,76.52,Cotton,Rabi,2020,2020-10-09,2021-04-27,32.038,31.914,0.996,102.0,17.69,73.8,8.23,5.66,0.193,52.65,89.16,3.56,100.2,Rainfed,0.0,0.3292177281100477,0.2688510722088985,0,Pulses
Bihar,Bihar_Dist_7,24.363,74.136,Rice,Kharif,2015,2015-06-09,2015-10-19,88.549,442.005,4.992,617.0,26.08,80.5,21.69,6.83,0.071,32.97,114.63,3.81,179.7,Rainfed,0.0,0.95,0.7618583210493456,0,Cotton
Karnataka,Karnataka_Dist_18,8.714,69.684,Cotton,Zaid,2019,2019-04-27,2019-07-14,48.104,94.181,1.958,118.0,28.85,65.2,19.55,6.37,0.256,32.42,160.08,2.99,63.8,Groundwater,455.6,0.686295759774772,0.5360360911672818,1,Fallow
Andhra Pradesh,Andhra Pradesh_Dist_26,20.56,70.509,Millet,Zaid,2022,2022-04-08,2022-06-21,97.482,181.588,1.863,82.0,25.51,68.4,17.14,7.07,0.28,25.85,281.05,1.34,126.8,Drip,316.8,0.6196081241852139,0.5022636668728813,1,Rice
Bihar,Bihar_Dist_31,25.656,83.51,Cotton,Zaid,2019,2019-04-03,2019-07-22,3.432,7.389,2.153,54.0,16.1,61.8,23.95,6.67,0.263,34.01,296.11,0.89,78.6,Sprinkler,627.9,0.7158837163397446,0.5647205845596008,1,Millet
Andhra Pradesh,Andhra Pradesh_Dist_13,32.212,94.68,Millet,Zaid,2016,2016-04-19,2016-06-26,45.858,45.917,1.001,13.0,22.16,72.2,23.88,5.74,0.057,49.48,286.28,1.88,142.8,Rainfed,0.0,0.43150234210516036,0.3286564017810389,1,Fallow
Uttar Pradesh,Uttar Pradesh_Dist_20,12.508,84.692,Wheat,Rabi,2022,2022-10-14,2023-03-16,119.649,619.779,5.18,29.0,25.58,50.9,21.15,5.97,0.204,22.7,144.75,2.54,53.6,Drip,549.6,0.6365529492232929,0.5148696031743635,1,Cotton
Madhya Pradesh,Madhya Pradesh_Dist_35,27.126,87.151,Sugarcane,Rabi,2019,2019-10-19,2020-03-09,31.618,2753.591,87.089,239.0,27.41,40.5,15.74,5.91,0.137,16.43,246.56,1.0,107.7,Rainfed,0.0,0.5302212490218402,0.4177791408970828,0,Rice
West Bengal,West Bengal_Dist_39,22.921,84.344,Millet,Rabi,2013,2013-10-04,2014-03-13,6.569,11.478,1.747,94.0,23.42,67.2,21.33,6.15,0.34,37.68,416.49,1.69,33.7,Groundwater,307.5,0.5037496649627072,0.43425171754980374,0,Soybean
Andhra Pradesh,Andhra Pradesh_Dist_37,16.746,85.653,Pulses,Zaid,2014,2014-03-23,2014-07-13,67.033,58.97,0.88,46.0,19.76,54.2,21.77,7.6,0.35,28.94,259.8,4.29,125.0,Rainfed,0.0,0.4100384562613775,0.35273146989341725,0,Rice
West Bengal,West Bengal_Dist_32,33.358,91.468,Wheat,Kharif,2013,2013-06-10,2013-10-07,104.964,375.638,3.579,321.0,15.28,54.5,17.64,5.97,0.3,46.39,273.41,2.43,108.6,Rainfed,0.0,0.5865688675822631,0.48642028799693443,1,Pulses
Tamil Nadu,Tamil Nadu_Dist_5,26.762,91.71,Pulses,Kharif,2015,2015-07-06,2015-11-23,86.414,145.839,1.688,442.0,23.69,49.1,21.84,5.95,0.169,59.07,182.82,2.19,151.0,Canal,440.9,0.95,0.7301805585816763,0,Cotton
Punjab,Punjab_Dist_9,30.141,68.275,Millet,Rabi,2021,2021-10-14,2022-03-02,39.791,46.203,1.161,157.0,23.54,62.2,15.19,5.9,0.296,55.11,421.5,1.87,136.8,Rainfed,0.0,0.5363131399763457,0.4340400072623303,0,Rice
Rajasthan,Rajasthan_Dist_11,11.22,79.863,Sugarcane,Zaid,2013,2013-03-05,2013-05-04,0.683,102.45,150.0,111.0,28.11,55.5,15.85,6.7,0.075,20.69,298.56,4.34,218.1,Canal,766.0,0.95,0.8312339884985198,1,Pulses
Rajasthan,Rajasthan_Dist_5,9.915,90.258,Millet,Zaid,2022,2022-04-19,2022-07-17,1.947,2.015,1.035,67.0,19.37,51.8,17.51,7.24,0.073,56.87,121.74,4.35,232.1,Rainfed,0.0,0.6252236948925327,0.47691758502384796,1,Millet
Maharashtra,Maharashtra_Dist_6,19.56,79.707,Sugarcane,Zaid,2017,2017-03-08,2017-06-02,4.196,414.731,98.84,151.0,24.34,40.1,15.49,6.95,0.327,25.69,292.63,2.13,141.4,Rainfed,0.0,0.5410342710684315,0.4078415186001092,1,Soybean
Uttar Pradesh,Uttar Pradesh_Dist_40,25.956,75.737,Millet,Rabi,2016,2016-11-02,2017-05-10,62.855,116.93,1.86,169.0,27.42,82.7,17.23,6.18,0.079,7.09,271.86,4.22,110.4,Groundwater,384.8,0.7372174168852355,0.5832156895336648,0,Wheat
Bihar,Bihar_Dist_11,8.896,96.906,Sugarcane,Zaid,2018,2018-04-25,2018-07-20,6.724,630.067,93.704,98.0,17.85,67.0,12.37,7.06,0.125,25.41,120.61,1.52,228.9,Rainfed,0.0,0.6145861912229494,0.498690792305189,0,Maize
Tamil Nadu,Tamil Nadu_Dist_8,12.244,74.103,Soybean,Kharif,2022,2022-07-09,2022-10-28,5.71,7.714,1.351,332.0,28.32,84.3,12.01,5.55,0.15,23.79,482.92,4.09,75.9,Rainfed,0.0,0.49254907521760616,0.388231188293863,1,Soybean
Bihar,Bihar_Dist_33,24.424,88.745,Wheat,Rabi,2010,2010-11-13,2011-05-27,23.286,43.217,1.856,149.0,20.77,67.7,9.67,5.2,0.084,12.76,424.85,4.49,3.4,Rainfed,0.0,0.268284029002927,0.2060133275154455,1,Soybean
Bihar,Bihar_Dist_26,20.214,71.702,Wheat,Kharif,2014,2014-07-15,2014-12-14,23.825,97.088,4.075,675.0,28.94,64.6,19.94,6.02,0.132,21.37,315.51,1.66,108.7,Rainfed,0.0,0.928733588111486,0.7339003241527835,0,Cotton
Punjab,Punjab_Dist_6,12.045,80.881,Cotton,Zaid,2017,2017-03-01,2017-06-22,81.613,119.908,1.469,116.0,25.58,70.6,17.96,6.61,0.33,22.77,233.57,0.7,155.9,Rainfed,0.0,0.5679261999304741,0.47355616040309206,1,Rice
West Bengal,West Bengal_Dist_7,10.075,91.197,Maize,Rabi,2011,2011-10-25,2012-04-27,10.232,122.784,12.0,74.0,26.81,57.2,19.42,6.96,0.188,6.32,287.73,0.88,72.4,Canal,988.3,0.8418992534977378,0.6900831403400856,1,Rice
Maharashtra,Maharashtra_Dist_18,12.873,89.752,Maize,Rabi,2015,2015-11-02,2016-05-09,130.233,662.037,5.083,122.0,28.35,57.6,17.71,6.79,0.188,54.92,150.51,0.54,226.4,Rainfed,0.0,0.5995598995307644,0.4639021358148785,0,Maize
Tamil Nadu,Tamil Nadu_Dist_7,9.932,77.426,Millet,Zaid,2014,2014-04-07,2014-07-25,11.936,10.322,0.865,37.0,30.33,71.3,18.1,6.5,0.306,37.34,196.29,2.29,66.6,Rainfed,0.0,0.3183609127428372,0.26441970942158377,0,Fallow
Bihar,Bihar_Dist_24,23.545,91.843,Cotton,Kharif,2011,2011-07-22,2011-11-13,13.749,16.477,1.198,371.0,22.1,55.1,16.67,6.11,0.33,46.56,411.67,0.97,54.5,Rainfed,0.0,0.5498351731817578,0.4746281492456453,0,Fallow
Punjab,Punjab_Dist_15,14.81,93.45,Rice,Zaid,2012,2012-03-11,2012-07-01,75.901,326.986,4.308,63.0,19.02,60.1,17.96,5.83,0.062,22.98,453.11,0.61,12.9,Drip,362.5,0.43908325382717933,0.34153694183443767,0,Soybean
Andhra Pradesh,Andhra Pradesh_Dist_36,29.878,90.036,Cotton,Zaid,2013,2013-03-07,2013-05-20,29.139,35.861,1.231,105.0,18.68,53.6,14.81,5.56,0.254,32.03,404.24,4.77,116.5,Groundwater,236.9,0.49907032507304194,0.3649966779376531,1,Soybean
Punjab,Punjab_Dist_23,8.141,95.075,Soybean,Kharif,2010,2010-07-15,2010-11-09,33.624,64.975,1.932,395.0,25.24,81.3,19.35,5.54,0.25,24.88,308.85,2.69,130.3,Rainfed,0.0,0.7743187994163838,0.5955566624442677,1,Fallow
Bihar,Bihar_Dist_5,16.632,89.581,Sugarcane,Zaid,2019,2019-04-25,2019-07-13,36.322,2939.236,80.922,111.0,26.77,78.8,17.39,6.28,0.247,52.86,454.82,3.4,79.2,Rainfed,0.0,0.2661473796073073,0.22221996840210034,0,Maize
West Bengal,West Bengal_Dist_32,22.095,79.019,Rice,Zaid,2018,2018-03-11,2018-06-17,38.462,270.122,7.023,19.0,31.23,61.1,20.44,7.51,0.274,54.77,81.85,0.5,133.6,Sprinkler,536.1,0.6816902893198787,0.49978269394924063,0,Pulses
Madhya Pradesh,Madhya Pradesh_Dist_9,31.644,81.335,Soybean,Kharif,2020,2020-06-01,2020-10-11,2.784,8.104,2.911,341.0,18.56,64.4,18.13,6.49,0.259,11.07,265.28,4.14,130.6,Sprinkler,552.7,0.95,0.7856331325342167,1,Millet
West Bengal,West Bengal_Dist_38,32.899,72.399,Pulses,Rabi,2018,2018-10-20,2019-01-30,12.298,13.758,1.119,131.0,29.2,64.6,26.06,7.22,0.225,26.48,126.03,4.53,72.6,Drip,214.2,0.4873179113083775,0.4178671913041996,0,Fallow
Punjab,Punjab_Dist_20,15.601,69.548,Cotton,Zaid,2016,2016-03-16,2016-06-07,42.345,62.267,1.47,111.0,28.16,94.4,20.35,6.88,0.279,24.47,498.63,2.46,128.7,Sprinkler,312.2,0.5851541422702728,0.4581321205440507,0,Fallow
Karnataka,Karnataka_Dist_13,25.428,95.439,Maize,Rabi,2013,2013-11-09,2014-03-06,58.82,532.401,9.051,190.0,18.51,58.3,18.66,6.31,0.284,8.84,313.81,1.62,89.7,Drip,297.4,0.6467392366238868,0.5531976634292576,0,Millet
Andhra Pradesh,Andhra Pradesh_Dist_3,29.02,77.521,Millet,Zaid,2023,2023-04-08,2023-06-28,17.018,15.105,0.888,146.0,28.31,74.1,16.68,6.5,0.167,30.96,438.15,3.4,124.3,Rainfed,0.0,0.47061008768975915,0.35861084692741596,0,Maize
Bihar,Bihar_Dist_35,18.275,94.347,Wheat,Zaid,2013,2013-04-15,2013-06-25,32.434,199.619,6.155,67.0,20.54,49.5,12.17,5.73,0.12,50.66,365.41,1.56,39.8,Sprinkler,488.5,0.7273059100643942,0.6053438551641768,0,Soybean
Maharashtra,Maharashtra_Dist_5,26.823,78.285,Pulses,Kharif,2013,2013-06-06,2013-09-15,29.613,35.341,1.193,524.0,25.37,58.3,10.76,7.66,0.333,11.18,269.78,1.37,43.5,Rainfed,0.0,0.6387764093244747,0.5094697437427715,0,Maize
West Bengal,West Bengal_Dist_36,18.481,80.216,Cotton,Kharif,2018,2018-06-08,2018-10-01,109.699,166.55,1.518,507.0,26.63,33.6,20.85,5.63,0.141,8.7,186.14,1.39,222.4,Rainfed,0.0,0.95,0.788211090658699,1,Pulses
Madhya Pradesh,Madhya Pradesh_Dist_12,31.116,94.377,Cotton,Rabi,2014,2014-11-12,2015-03-02,90.36,229.425,2.539,175.0,24.94,89.6,14.02,6.59,0.305,56.84,498.87,1.77,74.3,Canal,660.3,0.9220441158229377,0.6880976773656495,0,Pulses
Madhya Pradesh,Madhya Pradesh_Dist_25,25.057,90.175,Maize,Rabi,2017,2017-11-25,2018-03-07,30.361,139.319,4.589,93.0,23.27,42.8,23.61,6.66,0.244,35.77,99.23,4.69,138.2,Rainfed,0.0,0.5318472912602933,0.43516908172185603,1,Rice
Madhya Pradesh,Madhya Pradesh_Dist_28,29.723,92.94,Rice,Rabi,2019,2019-11-10,2020-04-17,75.87,789.729,10.409,92.0,27.88,75.1,12.39,6.61,0.08,32.38,259.78,1.97,96.1,Canal,716.4,0.8267789958808425,0.6410002033073032,0,Pulses
Rajasthan,Rajasthan_Dist_19,22.649,80.766,Millet,Zaid,2019,2019-04-05,2019-06-16,22.786,42.246,1.854,88.0,16.86,45.4,22.88,6.77,0.083,56.27,269.97,3.81,204.9,Canal,600.8,0.8176362615569309,0.6793155150444673,1,Rice
Bihar,Bihar_Dist_1,24.181,73.426,Wheat,Zaid,2021,2021-04-13,2021-08-11,25.224,120.205,4.765,128.0,29.38,58.1,16.19,5.99,0.121,7.84,498.42,3.81,88.8,Drip,235.0,0.6108759829262996,0.479608004750288,1,Soybean
Andhra Pradesh,Andhra Pradesh_Dist_25,15.875,90.954,Pulses,Rabi,2020,2020-10-13,2021-02-05,76.708,101.451,1.323,158.0,27.19,43.1,24.32,7.36,0.328,39.59,411.74,1.27,56.6,Groundwater,309.0,0.4971921149760523,0.4016346221292344,0,Soybean
West Bengal,West Bengal_Dist_11,25.037,79.19,Cotton,Rabi,2014,2014-11-02,2015-05-10,83.042,230.211,2.772,44.0,24.4,54.2,18.51,6.82,0.303,19.22,216.77,1.56,69.2,Sprinkler,754.2,0.8537807943723867,0.6841227451948019,1,Millet
Madhya Pradesh,Madhya Pradesh_Dist_28,27.684,75.03,Cotton,Kharif,2017,2017-06-20,2017-10-21,21.251,29.335,1.38,678.0,32.02,48.3,15.7,5.8,0.239,55.3,95.2,1.6,0.0,Rainfed,0.0,0.7607243991336937,0.5665778231920535,1,Fallow
Rajasthan,Rajasthan_Dist_10,8.038,89.221,Sugarcane,Kharif,2019,2019-06-21,2019-09-30,45.632,6844.8,150.0,471.0,26.17,64.9,18.77,6.8,0.274,56.02,351.68,4.87,32.2,Canal,475.7,0.9373458455585051,0.6876482518369165,0,Fallow
Madhya Pradesh,Madhya Pradesh_Dist_26,23.755,78.13,Rice,Zaid,2013,2013-04-10,2013-07-23,70.159,548.592,7.819,49.0,29.98,26.7,19.76,6.52,0.087,9.4,397.31,0.54,81.4,Sprinkler,779.5,0.8023458601454124,0.6422262393468874,0,Soybean
Tamil Nadu,Tamil Nadu_Dist_35,10.384,73.856,Millet,Zaid,2014,2014-04-05,2014-07-26,93.229,159.181,1.707,27.0,21.92,54.8,22.97,6.47,0.246,18.99,261.43,0.76,88.8,Drip,435.2,0.543511424657371,0.4793498518038596,0,Wheat
Karnataka,Karnataka_Dist_14,19.152,81.992,Millet,Zaid,2014,2014-03-03,2014-05-08,8.902,8.085,0.908,191.0,18.06,69.7,30.14,7.15,0.112,7.24,362.35,2.05,102.8,Rainfed,0.0,0.522967298904785,0.3724830660137784,0,Millet
Madhya Pradesh,Madhya Pradesh_Dist_34,29.024,84.354,Millet,Zaid,2014,2014-04-23,2014-07-03,31.239,79.038,2.53,84.0,27.32,55.1,24.87,7.12,0.319,18.13,163.68,2.73,92.5,Drip,560.1,0.7570944249049254,0.5659305482528614,0,Rice
Uttar Pradesh,Uttar Pradesh_Dist_13,15.854,88.748,Pulses,Kharif,2018,2018-06-02,2018-09-25,26.246,42.496,1.619,514.0,26.57,47.0,24.38,5.79,0.124,44.31,298.99,3.57,149.9,Groundwater,352.1,0.95,0.823525582051931,1,Maize
Uttar Pradesh,Uttar Pradesh_Dist_13,19.032,92.554,Sugarcane,Rabi,2017,2017-10-03,2018-02-17,82.477,12371.55,150.0,80.0,20.77,79.1,23.24,7.12,0.168,26.72,187.02,1.21,169.4,Drip,477.0,0.775490954283967,0.6276250457912725,0,Rice
Madhya Pradesh,Madhya Pradesh_Dist_8,23.321,76.264,Sugarcane,Kharif,2015,2015-07-01,2015-10-11,9.102,911.504,100.143,672.0,28.16,71.8,12.25,6.81,0.117,8.76,282.23,1.26,47.3,Rainfed,0.0,0.7805352406674205,0.6481467240991358,0,Millet
Maharashtra,Maharashtra_Dist_18,34.646,76.765,Wheat,Zaid,2019,2019-03-26,2019-06-27,24.24,114.881,4.739,61.0,26.82,56.4,15.05,7.28,0.162,48.45,96.51,2.44,0.0,Sprinkler,491.1,0.5137315659186003,0.41367647061543034,0,Wheat
Maharashtra,Maharashtra_Dist_25,17.963,85.171,Sugarcane,Rabi,2017,2017-11-11,2018-05-17,2.068,282.925,136.811,121.0,20.45,50.5,16.55,5.37,0.087,21.29,452.3,1.86,52.8,Sprinkler,657.0,0.6697038869763273,0.5935534717526959,1,Cotton
Andhra Pradesh,Andhra Pradesh_Dist_16,29.252,92.24,Soybean,Zaid,2016,2016-04-04,2016-07-24,22.097,30.509,1.381,66.0,23.99,57.6,23.06,6.39,0.312,35.08,281.93,4.66,240.6,Rainfed,0.0,0.5409514506989769,0.4427200784161781,0,Cotton
Maharashtra,Maharashtra_Dist_30,8.71,81.068,Millet,Zaid,2023,2023-03-17,2023-07-10,39.894,106.983,2.682,163.0,28.42,87.9,14.85,6.92,0.145,13.85,251.92,3.48,180.3,Sprinkler,616.9,0.95,0.7143114865184433,0,Fallow
Karnataka,Karnataka_Dist_16,22.411,91.652,Soybean,Rabi,2019,2019-10-21,2020-01-29,71.556,191.558,2.677,314.0,27.5,63.8,18.04,6.49,0.077,13.79,240.88,1.2,59.2,Drip,585.5,0.8650458133495171,0.704556529729427,1,Soybean
Andhra Pradesh,Andhra Pradesh_Dist_2,25.999,91.718,Soybean,Kharif,2022,2022-07-24,2022-12-12,49.869,158.214,3.173,510.0,31.71,96.0,20.66,5.9,0.319,45.95,124.37,4.92,67.1,Drip,492.4,0.95,0.7614394816133984,1,Maize
West Bengal,West Bengal_Dist_6,27.509,87.835,Soybean,Rabi,2017,2017-11-07,2018-05-03,23.947,70.155,2.93,131.0,26.0,40.0,10.46,6.83,0.181,40.87,102.17,1.31,166.2,Groundwater,620.2,0.95,0.7791135712123368,0,Soybean
Uttar Pradesh,Uttar Pradesh_Dist_34,23.691,91.628,Wheat,Kharif,2017,2017-06-04,2017-10-29,165.876,1102.851,6.649,540.0,19.18,61.7,10.87,6.72,0.12,7.62,320.48,2.01,0.0,Sprinkler,391.0,0.8537419724285957,0.6790424325648383,1,Millet
Rajasthan,Rajasthan_Dist_35,30.326,70.207,Cotton,Kharif,2013,2013-07-06,2013-10-07,28.006,40.093,1.432,494.0,28.7,55.4,31.72,6.78,0.131,13.0,334.57,2.7,198.1,Rainfed,0.0,0.88111299909672,0.680187376428674,0,Wheat
Andhra Pradesh,Andhra Pradesh_Dist_25,31.527,82.832,Sugarcane,Kharif,2021,2021-06-21,2021-11-26,21.924,2797.849,127.616,573.0,29.25,71.8,15.6,5.91,0.343,57.09,230.58,1.13,0.0,Rainfed,0.0,0.6627480084204657,0.5220740685522894,1,Wheat
Rajasthan,Rajasthan_Dist_6,17.224,68.837,Soybean,Kharif,2019,2019-07-21,2019-12-06,42.146,135.078,3.205,314.0,27.62,65.9,12.75,6.67,0.155,37.31,210.52,5.0,131.8,Sprinkler,674.4,0.95,0.8165736554945658,0,Cotton
Tamil Nadu,Tamil Nadu_Dist_28,25.923,87.813,Cotton,Kharif,2014,2014-06-24,2014-11-04,25.634,34.419,1.343,528.0,27.53,46.4,13.92,6.89,0.213,32.03,381.37,1.92,0.0,Rainfed,0.0,0.5959024615643094,0.4919933235953618,0,Wheat
West Bengal,West Bengal_Dist_13,32.736,95.714,Rice,Zaid,2015,2015-03-02,2015-05-20,33.346,138.54,4.155,56.0,25.94,63.7,12.39,6.33,0.326,58.55,334.5,2.67,109.7,Rainfed,0.0,0.32301881632002344,0.2937977871002316,1,Soybean
West Bengal,West Bengal_Dist_35,9.42,75.404,Cotton,Rabi,2016,2016-10-13,2017-02-03,131.412,115.776,0.881,81.0,21.93,52.2,9.07,5.9,0.236,46.94,388.93,4.16,11.1,Rainfed,0.0,0.24789838116670815,0.24213911489724066,1,Rice
Maharashtra,Maharashtra_Dist_35,29.819,85.748,Pulses,Rabi,2012,2012-11-15,2013-05-21,51.355,107.314,2.09,398.0,25.11,62.1,24.28,7.05,0.287,55.0,171.66,2.86,102.3,Sprinkler,721.2,0.95,0.7525105100301763,1,Maize
Uttar Pradesh,Uttar Pradesh_Dist_39,14.498,90.031,Sugarcane,Kharif,2021,2021-07-23,2021-12-24,11.236,1685.4,150.0,797.0,23.84,44.4,27.58,6.53,0.202,8.42,467.29,1.3,156.7,Drip,411.3,0.95,0.7787642800091216,0,Cotton
Punjab,Punjab_Dist_18,23.888,78.522,Pulses,Zaid,2023,2023-03-11,2023-06-30,42.045,34.198,0.813,132.0,28.46,27.6,22.61,6.92,0.175,22.29,243.14,2.46,115.4,Rainfed,0.0,0.44175424242926026,0.32946873030012486,1,Soybean
Uttar Pradesh,Uttar Pradesh_Dist_14,34.116,80.733,Cotton,Zaid,2021,2021-04-27,2021-07-15,47.98,45.627,0.951,59.0,25.39,46.4,15.89,6.37,0.064,54.62,307.12,3.65,86.0,Rainfed,0.0,0.35607552814706517,0.30105006574800425,0,Millet
Uttar Pradesh,Uttar Pradesh_Dist_2,13.508,71.5,Millet,Rabi,2016,2016-11-17,2017-03-06,150.623,292.697,1.943,124.0,25.67,77.4,23.63,6.36,0.225,5.67,219.47,0.78,146.1,Drip,408.7,0.7000888627789582,0.5768635310508636,1,Soybean
Karnataka,Karnataka_Dist_19,26.323,91.385,Cotton,Zaid,2023,2023-04-26,2023-08-12,36.269,105.228,2.901,86.0,21.95,93.0,24.01,6.54,0.302,44.73,135.1,3.17,74.1,Canal,737.8,0.8086063265217809,0.6686527664818944,0,Rice
West Bengal,West Bengal_Dist_4,16.021,74.198,Sugarcane,Rabi,2020,2020-11-05,2021-03-22,54.809,5187.073,94.639,63.0,18.99,62.4,18.34,6.17,0.184,22.17,192.79,2.44,149.6,Rainfed,0.0,0.5058365503634652,0.36389320223087246,0,Millet
Bihar,Bihar_Dist_14,19.537,96.209,Cotton,Zaid,2020,2020-04-14,2020-08-12,55.465,49.707,0.896,107.0,26.16,95.0,20.02,6.42,0.118,18.98,291.72,4.16,48.6,Rainfed,0.0,0.3474623561987365,0.32339731295841584,0,Rice
Uttar Pradesh,Uttar Pradesh_Dist_4,17.607,87.785,Rice,Rabi,2017,2017-11-14,2018-05-08,41.571,149.585,3.598,84.0,21.98,67.3,29.92,7.1,0.071,24.91,472.86,4.38,175.9,Rainfed,0.0,0.45040975242105036,0.3456795901959397,0,Wheat
Uttar Pradesh,Uttar Pradesh_Dist_26,27.629,80.327,Cotton,Kharif,2011,2011-06-25,2011-11-10,170.213,219.086,1.287,416.0,24.3,62.0,19.81,6.49,0.185,23.23,482.22,4.2,65.1,Rainfed,0.0,0.5734274681156497,0.4727239769408779,1,Pulses
Punjab,Punjab_Dist_30,13.033,71.486,Millet,Rabi,2020,2020-10-03,2021-01-25,129.871,214.206,1.649,108.0,22.01,37.4,22.96,6.4,0.124,19.24,447.74,2.82,25.2,Drip,491.7,0.5749067127508005,0.4493612837260092,1,Fallow
Punjab,Punjab_Dist_32,26.506,83.486,Cotton,Kharif,2019,2019-06-13,2019-10-04,102.628,294.872,2.873,554.0,24.53,63.5,14.65,5.75,0.111,53.93,462.91,3.24,93.6,Canal,812.9,0.95,0.7967831375600221,1,Pulses
Rajasthan,Rajasthan_Dist_28,17.583,95.67,Sugarcane,Zaid,2012,2012-04-23,2012-08-13,14.022,1091.068,77.811,73.0,31.71,73.9,14.85,6.72,0.1,40.71,182.58,4.57,110.1,Rainfed,0.0,0.39497248820278,0.29424643560855895,0,Rice
Maharashtra,Maharashtra_Dist_26,32.005,81.031,Pulses,Kharif,2018,2018-06-28,2018-10-19,95.6,203.319,2.127,342.0,21.09,59.2,14.14,5.97,0.163,22.44,305.14,3.48,106.3,Sprinkler,651.7,0.95,0.7506902825258381,0,Maize
West Bengal,West Bengal_Dist_12,27.818,76.278,Wheat,Zaid,2017,2017-03-07,2017-06-11,112.664,1020.892,9.061,73.0,29.31,69.5,17.13,6.72,0.289,38.51,128.66,1.81,111.1,Sprinkler,784.4,0.8217979875656369,0.6491296172256946,0,Fallow
Uttar Pradesh,Uttar Pradesh_Dist_6,10.841,72.09,Sugarcane,Kharif,2011,2011-06-22,2011-11-13,18.168,2725.2,150.0,438.0,24.89,50.1,23.2,6.71,0.248,22.87,296.85,2.5,124.4,Groundwater,404.2,0.95,0.7960042476257925,1,Cotton
Maharashtra,Maharashtra_Dist_16,8.84,82.886,Sugarcane,Kharif,2018,2018-06-23,2018-11-22,189.814,28199.079,148.562,544.0,35.47,37.6,18.61,6.23,0.222,36.39,463.96,2.87,114.1,Groundwater,252.8,0.9199591265141847,0.7405037878514742,1,Millet
Andhra Pradesh,Andhra Pradesh_Dist_34,24.616,77.326,Soybean,Zaid,2018,2018-03-07,2018-05-08,4.916,13.919,2.831,110.0,24.79,54.1,19.02,6.92,0.318,6.81,421.23,3.03,33.6,Canal,636.9,0.6613134129874204,0.558152764050412,0,Fallow
Uttar Pradesh,Uttar Pradesh_Dist_20,33.933,70.599,Cotton,Kharif,2019,2019-06-03,2019-10-25,42.727,132.249,3.095,416.0,23.35,80.8,14.35,6.45,0.243,10.67,459.87,3.06,150.4,Canal,824.3,0.95,0.7839773937255173,1,Pulses
Tamil Nadu,Tamil Nadu_Dist_17,28.141,86.29,Sugarcane,Rabi,2020,2020-10-22,2021-03-03,57.951,8692.65,150.0,84.0,28.04,56.6,17.6,6.67,0.24,24.39,112.26,3.89,115.9,Groundwater,694.9,0.8279612734156153,0.674795066715394,1,Millet
